Year	Month	Land Δ(T) (C)	Ocean Δ(T) (C)	Ocean-Land Δ(T) (C)
1906	9	-0.509222	-0.597902	-0.572506
1906	10	-0.473677	-0.595392	-0.559532
1906	11	-0.785657	-0.564378	-0.627572
1906	12	-0.332118	-0.547282	-0.487889
1907	1	-1.105582	-0.543313	-0.694711
1907	2	-1.402072	-0.606551	-0.828005
1907	3	-1.087352	-0.515731	-0.680835
1907	4	-1.279222	-0.490394	-0.707598
1907	5	-1.301811	-0.603102	-0.795847
1907	6	-1.025971	-0.584733	-0.704835
1907	7	-0.750748	-0.604115	-0.646185
1907	8	-0.710656	-0.601919	-0.632612
1907	9	-0.653017	-0.650326	-0.651058
1907	10	-0.510868	-0.609206	-0.580416
1907	11	-1.110543	-0.638618	-0.768343
1907	12	-1.100955	-0.638721	-0.763011
1908	1	-0.764143	-0.679967	-0.704056
1908	2	-0.954908	-0.622942	-0.715947
1908	3	-1.591956	-0.700813	-0.945668
1908	4	-1.08059	-0.682246	-0.790765
1908	5	-0.659109	-0.742359	-0.718941
1908	6	-0.645786	-0.738236	-0.711247
1908	7	-0.480553	-0.763245	-0.682155
1908	8	-0.730068	-0.776266	-0.76286
1908	9	-0.433505	-0.770006	-0.669977
1908	10	-0.781508	-0.77609	-0.777591
1908	11	-0.927228	-0.735373	-0.788801
1908	12	-0.835241	-0.730144	-0.758333
1909	1	-1.410668	-0.722796	-0.909837
1909	2	-1.016762	-0.725538	-0.809825
1909	3	-1.208724	-0.741286	-0.873007
1909	4	-1.401943	-0.762696	-0.942431
1909	5	-1.046119	-0.733382	-0.823935
1909	6	-0.788272	-0.792537	-0.791326
1909	7	-0.645185	-0.816461	-0.770226
1909	8	-0.41041	-0.716527	-0.630635
1909	9	-0.460052	-0.704619	-0.635211
1909	10	-0.441142	-0.718042	-0.641735
1909	11	-0.040719	-0.771877	-0.568777
1909	12	-0.734308	-0.767101	-0.758268
1910	1	-0.605688	-0.710807	-0.682715
1910	2	-0.87929	-0.704184	-0.752584
1910	3	-1.110183	-0.77648	-0.872118
1910	4	-0.72332	-0.724292	-0.724001
1910	5	-0.654665	-0.648387	-0.650181
1910	6	-0.591724	-0.6969	-0.667011
1910	7	-0.321003	-0.748006	-0.625763
1910	8	-0.481696	-0.72845	-0.656668
1910	9	-0.586631	-0.686626	-0.657251
1910	10	-0.706409	-0.710509	-0.709324
1910	11	-0.876243	-0.727295	-0.768523
1910	12	-1.271315	-0.775103	-0.912369
1911	1	-1.233188	-0.736782	-0.871908
1911	2	-1.26166	-0.781735	-0.916491
1911	3	-1.407789	-0.788035	-0.957105
1911	4	-1.063632	-0.81452	-0.883852
1911	5	-0.877554	-0.847555	-0.855892
1911	6	-0.778921	-0.806738	-0.798728
1911	7	-0.679735	-0.80902	-0.772763
1911	8	-0.683012	-0.767368	-0.743663
1911	9	-0.651513	-0.702519	-0.686384
1911	10	-0.51878	-0.618404	-0.588897
1911	11	-0.451961	-0.557613	-0.527519
1911	12	-0.713567	-0.47339	-0.541939
1912	1	-0.855583	-0.503172	-0.600757
1912	2	-0.563258	-0.448935	-0.480279
1912	3	-1.353794	-0.41477	-0.675703
1912	4	-0.790122	-0.447439	-0.542719
1912	5	-0.540708	-0.520616	-0.526136
1912	6	-0.470425	-0.574481	-0.545253
1912	7	-0.802806	-0.603033	-0.657837
1912	8	-0.947393	-0.689217	-0.762357
1912	9	-1.016063	-0.739123	-0.819943
1912	10	-1.173539	-0.67384	-0.813574
1912	11	-0.772531	-0.679177	-0.705019
1912	12	-0.99173	-0.640852	-0.737335
1913	1	-0.931788	-0.579975	-0.67608
1913	2	-1.299523	-0.562199	-0.760134
1913	3	-1.311491	-0.638903	-0.817293
1913	4	-0.850497	-0.669123	-0.720501
1913	5	-0.95659	-0.64744	-0.730764
1913	6	-0.785485	-0.685027	-0.712503
1913	7	-0.466586	-0.675937	-0.619084
1913	8	-0.411431	-0.663146	-0.594854
1913	9	-0.546001	-0.658215	-0.627224
1913	10	-0.563155	-0.581466	-0.576519
1913	11	-0.123576	-0.561422	-0.440424
1913	12	-0.005699	-0.511449	-0.375685
1914	1	0.398253	-0.442568	-0.213187
1914	2	-0.43705	-0.465014	-0.457333
1914	3	-0.703698	-0.481575	-0.54132
1914	4	-0.757132	-0.527337	-0.589744
1914	5	-0.309479	-0.534058	-0.472977
1914	6	-0.345637	-0.571497	-0.509288
1914	7	-0.495006	-0.536319	-0.524883
1914	8	-0.554373	-0.48415	-0.504072
1914	9	-0.452209	-0.51712	-0.497379
1914	10	-0.297052	-0.408597	-0.376015
1914	11	-0.480377	-0.3279	-0.372322
1914	12	-0.671697	-0.320206	-0.42285
1915	1	-0.706906	-0.37881	-0.470607
1915	2	-0.412299	-0.316412	-0.344614
1915	3	-0.723778	-0.32663	-0.444151
1915	4	-0.258614	-0.317823	-0.301185
1915	5	-0.349314	-0.399361	-0.384551
1915	6	-0.538507	-0.429235	-0.462277
1915	7	-0.255331	-0.422737	-0.373502
1915	8	-0.405911	-0.42304	-0.417849
